	Line 211: 04:45.893	ID:22	30 0 284 0 2570 52 1 0 14134 12844 13368 2048 2048 0 229 0 4726 34346 59254 17888 0 100 0 371 0 0 0 11 32428 41712
	Line 216: 04:50.409	ID:22	-22351,289,289,14
	Line 217: 04:50.441	ID:22	30 0 289 0 3598 45 1 0 13106 12597 12844 14648 2048 0 228 0 34346 59254 41712 1 1 0 1280 0 35820 0 8 32422 0 0
	Line 219: 04:50.559	ID:22	11705,289,289,17
	Line 220: 04:50.595	ID:22	30 0 289 0 4369 49 1 0 12343 11317 14386 57 41712 1 4536 9490 0 0 9490 4536 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 222: 04:53.972	ID:22	31792,293,293,11
	Line 223: 04:54.006	ID:22	30 0 293 0 2827 51 1 0 14647 11314 14642 51 2048 0 485 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 0
	Line 225: 04:57.144	ID:22	18166,296,296,15
	Line 226: 04:57.180	ID:22	30 0 296 0 3855 49 1 0 13873 11318 14642 54 2048 0 189 0 4732 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 1 41712
	Line 229: 05:02.760	ID:22	11620,301,301,15
	Line 231: 05:02.797	ID:22	30 0 301 0 3855 49 1 0 12854 11312 12339 49 2048 35334 13140 0 881 1 10696 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 234: 05:04.025	ID:22	-16105,303,303,14
	Line 235: 05:04.062	ID:22	30 0 303 0 3598 45 1 0 12598 13616 13100 13104 2048 0 373 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 237: 05:10.013	ID:22	-11588,309,309,6
	Line 238: 05:10.050	ID:22	30 0 309 0 1542 45 1 0 13617 14392 13100 14640 2048 0 303 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 240: 05:11.122	ID:22	-2865,310,310,1
	Line 241: 05:11.157	ID:22	30 0 310 0 257 45 1 0 13880 11317 12595 48 2048 0 487 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 243: 05:13.173	ID:22	8543,312,312,17
	Line 244: 05:13.210	ID:22	30 0 312 0 4369 56 1 0 13108 13100 12849 2048 2048 0 487 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 255: 05:22.652	ID:22	-6105,321,321,18
	Line 256: 05:22.688	ID:22	30 0 321 0 4626 45 2 0 12337 11317 12851 49 2048 0 487 0 4732 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 1 41712
	Line 258: 05:26.392	ID:22	-14736,325,325,16
	Line 259: 05:26.429	ID:22	30 0 325 0 4112 45 2 0 14132 13875 13100 13618 2048 0 487 0 4726 4642 22706 2 63492 2 6176 63492 36188 4414 5518 32422 0 41712
	Line 261: 05:28.591	ID:22	21568,327,327,12
