	Line 245: 01:59.500	ID:21	21437,118,118,2
	Line 246: 01:59.528	ID:21	30 0 118 0 514 50 2 0 13108 11319 12593 56 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 249: 02:10.239	ID:21	14027,129,129,6
	Line 251: 02:10.275	ID:21	30 0 129 0 1542 49 1 0 12848 11319 12849 57 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 252: 02:10.282	ID:21	30946,129,129,1
	Line 253: 02:10.309	ID:21	30 0 129 0 257 51 1 0 13369 11318 12849 57 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 255: 02:16.814	ID:21	-26854,136,135,18
	Line 256: 02:16.849	ID:21	30 0 135 0 4626 45 1 0 14390 13365 12588 13875 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 0
	Line 261: 02:21.175	ID:21	-26507,140,140,19
	Line 262: 02:21.212	ID:21	30 0 140 0 4883 45 1 0 13622 14128 12588 12340 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 264: 02:22.796	ID:21	-20589,141,141,15
	Line 265: 02:22.833	ID:21	30 0 141 0 3855 45 1 0 13616 14648 12588 12596 2048 0 229 0 4726 4642 22706 2 63492 2 6226 63492 36188 4414 5568 32422 0 41712
	Line 270: 02:28.611	ID:21	31056,148,147,8
	Line 271: 02:28.639	ID:21	30 0 147 0 2056 51 2 0 13616 11318 13361 56 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 273: 02:31.938	ID:21	-13572,151,150,7
	Line 274: 02:31.966	ID:21	30 0 150 0 1799 45 1 0 13619 12855 12588 12597 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 276: 02:33.338	ID:21	-20311,152,152,11
	Line 277: 02:33.371	ID:21	30 0 152 0 2827 45 1 0 13104 12593 12588 12853 0 0 6174 8 8 0 0 11 35788 2 6176 63492 36188 4414 5518 32422 0 41712
	Line 279: 02:34.562	ID:21	14057,153,153,9
	Line 280: 02:34.589	ID:21	30 0 153 0 2313 49 1 0 13616 11319 13617 51 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 282: 02:35.175	ID:21	24117,154,154,14
	Line 283: 02:35.201	ID:21	30 0 154 0 3598 50 2 0 12593 11319 13617 52 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 0
	Line 285: 02:40.184	ID:21	28345,159,159,2
	Line 286: 02:40.219	ID:21	30 0 159 0 514 50 2 0 13363 11317 13617 57 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 289: 02:44.213	ID:21	21706,163,163,13
	Line 290: 02:44.241	ID:21	30 0 163 0 3341 50 1 0 12343 11318 13873 51 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 293: 03:00.708	ID:21	-19115,179,179,10
	Line 294: 03:00.736	ID:21	30 0 179 0 2570 45 1 0 12601 13617 12588 14647 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 299: 03:06.531	ID:21	-19985,185,185,15
	Line 300: 03:06.559	ID:21	30 0 185 0 3855 45 1 0 14649 13624 12588 13624 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 305: 03:10.472	ID:21	1381,189,189,1
	Line 306: 03:10.508	ID:21	30 0 189 0 257 49 1 0 12600 12588 14648 2048 2048 0 485 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 311: 03:16.059	ID:21	-25833,194,194,13
	Line 312: 03:16.088	ID:21	30 0 194 0 3341 45 1 0 14389 13107 12588 13369 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 314: 03:17.165	ID:21	-251,196,196,8
	Line 315: 03:17.202	ID:21	30 0 196 0 2056 45 2 0 12597 12588 13881 2048 2048 0 485 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 319: 03:20.557	ID:21	25324,199,199,6
	Line 320: 03:20.593	ID:21	30 0 199 0 1542 50 1 0 12851 11316 14641 57 2048 0 233 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 325: 03:26.635	ID:21	10583,205,205,19
	Line 326: 03:26.662	ID:21	30 0 205 0 4883 49 1 0 14389 11315 12338 53 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 328: 03:31.747	ID:21	-18477,210,210,10
